id,geonameid,name,asciiname,alternatenames,latitude,longitude,featureclass,featurecode,countrycode,cc2,admin1code,admin2code,admin3code,admin4code,population,elevation,dem,timezone,modificationdate
4985162,184622,Nakuru,Nakuru,"Gorad Nakuru,NUU,Nakuru,na ku lu,nakulu,nakuru,nakwrw,nakwrw  knya,Горад Накуру,Накуру,ناکورو,ناکورو، کنیا,ნაკურუ,ナクル,纳库鲁,나쿠루",-0.30719,36.07225,P,PPLA,KE,,39,,,,259903,,1857,Africa/Nairobi,2018-03-06
11456214,1586203,Cần Thơ,Can Tho,"Can Tho,Cần Thơ,Kan Tho,VCA,kanto,qin ju shi,カントー,芹苴市",10.03711,105.78825,P,PPLA,VN,,87,,,,259598,,3,Asia/Ho_Chi_Minh,2014-09-04
2520303,2954172,Augsburg,Augsburg,"AGY,Agsborg,Aounksmpournk,Augsberg,Augsboerj,Augsborg,Augsbourg,Augsburg,Augsburga,Augsburgas,Augsburgo,Augsbörj,Augschburg,Augusta,Augusta Vindelicorum,Augzburg,Auqsburq,Gorad Augsburg,a'ugsaburga,agzbrg,ao ge si bao,aucupurku,augsburga,augsburgi,augusuburuku,aukeuseubuleukeu,aukusuburuku,awghsbwrgh,awgsbwrg,xea k sburk,Ágsborg,Άουγκσμπουργκ,Аугзбург,Аугсбург,Горад Аўгсбург,אאוגסבורג,آوغسبورغ,آوگسبورگ,اگزبرگ,आउग्सबुर्ग,औग्स्बुर्ग,আউগ্‌সবুর্গ,ஔசுபூர்கு,เอาก์สบูร์ก,აუგსბურგი,アウクスブルク,アウグスブルク,奥格斯堡,아우크스부르크",48.37154,10.89851,P,PPLA2,DE,,02,097,09761,09761000,259196,,489,Europe/Berlin,2016-02-12
4895458,1862462,Hiratsuka,Hiratsuka,"Hiracuka,Hiratsuka,Hiratuka,Hiratuka-chhi,Hiratuka-chhī,Khiracuka,hi ra suk a,hilasseuka si,hyratswka,hyratswka  kanagawa,ping zhong,ping zhong shi,Хирацука,Хірацука,Ҳиратсука,هيراتسوكا,هیراتسوکا، کاناگاوا,ہیراتسوکا، کاناگاوا,ฮิระสึกะ,ჰირაცუკა,平塚,平塚市,히라쓰카 시",35.32785,139.33735,P,PPLA2,JP,,19,1862461,,,259052,,8,Asia/Tokyo,2017-07-22
3855913,7302833,Gajuwaka,Gajuwaka,"gajuvaka,గాజువాక",17.7,83.21667,P,PPL,IN,,02,544,,,258944,,17,Asia/Kolkata,2014-10-10
1484154,1805179,Jiujiang,Jiujiang,"Chiu-chiang,Chiu-chiang-hsien,Chiu-chiang-shih,Ciuciang,Cuu Giang,Czjuczjan,Cửu Giang,Dzjudzjan,JIU,Jiujiang,Kiukiang,Kiukiang-hsien,Te-hua,Tiou-tiang,jiu jiang,jiu jiang shi,jujang si,Ťiou-ťiang,Ђуђанг,Дзюдзян,Цзюцзян,ཅིའུ་ཅང་།,九江,九江市,주장 시",29.70475,116.00206,P,PPLA2,CN,,03,,,,258807,,41,Asia/Shanghai,2017-12-10
1547447,2036458,Jining,Jining,"Chi-ning,Chi-ning-hsien,Chi-ning-shih,Czinin,Jining,Jining Qu,P'ing-ti-ch'uan,P'ing-ti-ch'uan-chen,P’ing-ti-ch’üan,P’ing-ti-ch’üan-chen,Tsining,Tszinin,ji ning,ji ning qu,ping de quan zhen,Цзинин,平地泉镇,集宁,集宁区",41.0275,113.10583,P,PPL,CN,,20,,,,258757,,1409,Asia/Shanghai,2012-01-18
2214020,3671916,Popayán,Popayan,"PPN,Popajan,Popajanas,bo pa yang,popayan,pwpayan,Попаян,پوپایان,ポパヤン,波帕扬,포파얀",2.43823,-76.61316,P,PPLA,CO,,09,19001,,,258653,1760,1725,America/Bogota,2016-01-28
8277013,103630,Najrān,Najran,"EAM,Najran,Najrān,njran,نجران",17.49326,44.12766,P,PPLA,SA,,16,,,,258573,,1310,Asia/Riyadh,2017-07-05
5826115,4013704,Ciudad Obregón,Ciudad Obregon,"Altepetl Obregon,Altepetl Obregón,CEN,Cajeme,Cd Obregon,Cd Obregón,Cd. Obregon,Cd. Obregón,Ciudad Obregon,Ciudad Obregón,Lungsod ng Obregon,Lungsod ng Obregón,Obregon,S'judad Obregon,S'judad-Obregon,Sijudad Obregon,Siudad Obregon,Siudad Obregonas,ao fu lei gong cheng,siudad-obregoni,siudadeuobeulegon,sywdad awbrgn,sywdad awbrygwn,Сиудад Обрегон,Сијудад Обрегон,Сьюдад Обрегон,Сьюдад-Обрегон,סיודד אוברגון,سیوداد اوبرگن,سیوداد اوبریگون,სიუდად-ობრეგონი,シウダ・オブレゴン,奧夫雷貢城,시우다드오브레곤",27.48642,-109.94083,P,PPLA2,MX,,26,018,,,258162,,38,America/Hermosillo,2018-02-06
